5.3.0.0	5.3.255.255
5.8.0.0	5.8.16.191
5.8.16.193	5.8.47.255
5.8.72.0	5.8.79.255
5.8.88.0	5.8.92.18
5.8.92.20	5.8.92.77
5.8.93.32	5.8.93.58
5.8.93.60	5.8.93.141
5.8.93.143	5.8.93.156
5.8.93.158	5.8.94.51
5.8.94.53	5.8.94.111
5.8.94.113	5.8.94.113
5.8.94.115	5.8.94.205
5.8.95.48	5.8.95.87
5.8.95.89	5.8.95.255
5.16.0.0	5.16.68.2
5.16.68.4	5.16.127.255
5.16.160.0	5.16.168.141
5.16.168.143	5.16.168.197
5.16.168.250	5.16.169.5
5.16.169.31	5.16.169.57
5.16.169.59	5.16.169.61
5.16.169.63	5.16.169.77
5.16.169.123	5.16.170.69
5.16.170.82	5.16.170.85
5.16.170.87	5.16.170.93
5.16.170.95	5.16.170.129
5.16.170.135	5.16.191.255
5.16.224.0	5.17.128.89
5.17.128.91	5.17.129.121
5.17.129.123	5.17.130.145
5.17.130.147	5.17.137.53
5.17.137.55	5.17.146.177
5.17.146.179	5.17.151.9
5.17.151.11	5.17.160.229
5.17.160.231	5.17.178.37
5.17.178.39	5.17.181.18
5.17.181.20	5.17.181.153
5.17.181.155	5.17.188.73
5.17.188.75	5.17.191.195
5.17.191.197	5.18.34.8
5.18.34.34	5.18.34.36
5.18.34.74	5.18.34.140
5.18.34.162	5.18.35.48
5.18.35.50	5.18.42.238
5.18.42.240	5.18.43.100
5.18.43.102	5.18.43.151
5.18.43.153	5.18.43.203
5.18.43.205	5.18.48.52
5.18.48.54	5.18.52.244
5.18.52.246	5.18.53.155
5.18.53.157	5.18.53.255
5.18.54.1	5.18.54.1
5.18.54.3	5.18.54.4
5.18.54.6	5.18.54.13
5.18.54.15	5.18.54.17
5.18.54.19	5.18.54.25
5.18.54.28	5.18.57.141
5.18.57.143	5.18.57.197
5.18.57.199	5.18.58.59
5.18.58.61	5.18.59.38
5.18.59.40	5.18.62.97
5.18.62.100	5.18.62.100
5.18.62.102	5.18.62.105
5.18.62.107	5.18.62.122
5.18.62.124	5.18.62.132
5.18.62.135	5.18.62.143
5.18.62.145	5.18.62.145
5.18.62.147	5.18.62.158
5.18.62.160	5.18.68.50
5.18.68.53	5.18.70.33
5.18.70.35	5.18.74.71
5.18.74.73	5.18.74.247
5.18.74.249	5.18.82.134
5.18.82.136	5.18.83.83
5.18.83.85	5.18.93.255
5.18.94.1	5.18.94.2
5.18.94.6	5.18.94.20
5.18.94.24	5.18.94.25
5.18.94.28	5.18.94.29
5.18.94.32	5.18.94.37
5.18.94.39	5.18.94.41
5.18.94.43	5.18.94.54
5.18.94.56	5.18.94.71
5.18.94.73	5.18.94.73
5.18.94.76	5.18.94.230
5.18.94.232	5.18.96.130
5.18.96.132	5.18.96.148
5.18.96.150	5.18.96.194
5.18.96.196	5.18.96.199
5.18.96.201	5.18.96.214
5.18.96.216	5.18.96.221
5.18.96.223	5.18.96.251
5.18.96.253	5.18.97.12
5.18.97.14	5.18.97.37
5.18.97.41	5.18.97.43
5.18.97.45	5.18.97.49
5.18.97.51	5.18.97.55
5.18.97.57	5.18.97.69
5.18.97.71	5.18.97.83
5.18.97.85	5.18.97.90
5.18.97.92	5.18.97.92
5.18.97.94	5.18.97.94
5.18.97.96	5.18.97.98
5.18.97.100	5.18.97.114
5.18.97.116	5.18.97.119
5.18.97.121	5.18.97.138
