2.63.128.0	2.63.255.255
5.22.153.2	5.22.153.2
5.44.168.0	5.44.169.60
5.44.169.83	5.44.169.84
5.44.169.98	5.44.169.120
5.44.169.137	5.44.169.255
5.100.91.132	5.100.91.132
5.128.0.0	5.128.3.92
5.128.3.94	5.128.6.192
5.128.6.194	5.128.7.208
5.128.7.210	5.128.11.19
5.128.11.21	5.128.13.53
5.128.13.55	5.128.13.83
5.128.13.85	5.128.18.37
5.128.18.39	5.128.18.177
5.128.18.179	5.128.19.58
5.128.19.60	5.128.20.214
5.128.20.216	5.128.21.93
5.128.21.95	5.128.31.125
5.128.31.127	5.128.34.157
5.128.34.159	5.128.46.4
5.128.46.6	5.128.54.27
5.128.54.29	5.128.57.82
5.128.57.84	5.128.59.6
5.128.59.8	5.128.67.58
5.128.67.60	5.128.72.2
5.128.72.4	5.128.79.62
5.128.79.64	5.128.79.104
5.128.79.106	5.128.82.2
5.128.82.4	5.128.82.22
5.128.82.24	5.128.86.70
5.128.86.72	5.128.107.7
5.128.107.9	5.128.108.1
5.128.108.3	5.128.118.221
5.128.118.223	5.128.129.78
5.128.129.80	5.128.135.10
5.128.135.12	5.128.144.132
5.128.144.134	5.128.145.48
5.128.145.50	5.128.158.54
5.128.158.56	5.128.163.45
5.128.163.47	5.128.164.158
5.128.164.160	5.128.165.4
5.128.165.6	5.128.171.93
5.128.171.95	5.128.186.15
5.128.186.17	5.128.199.30
5.128.199.32	5.128.200.20
5.128.200.22	5.128.201.5
5.128.201.7	5.128.203.29
5.128.203.31	5.128.204.67
5.128.204.69	5.129.191.255
5.130.0.0	5.131.255.255
5.137.0.0	5.137.0.45
5.137.0.47	5.137.0.68
5.137.0.70	5.137.0.75
5.137.0.77	5.137.0.135
5.137.0.137	5.137.0.152
5.137.0.154	5.137.0.169
5.137.0.171	5.137.1.10
5.137.1.12	5.137.1.16
5.137.1.18	5.137.1.40
5.137.1.42	5.137.1.109
5.137.1.111	5.137.1.149
5.137.1.151	5.137.1.158
5.137.1.160	5.137.1.206
5.137.1.208	5.137.1.215
5.137.1.217	5.137.2.12
5.137.2.14	5.137.2.54
5.137.2.56	5.137.2.110
5.137.2.112	5.137.2.120
5.137.2.122	5.137.2.153
5.137.2.155	5.137.2.169
5.137.2.171	5.137.2.176
5.137.2.178	5.137.2.216
5.137.2.218	5.137.2.221
5.137.2.223	5.137.2.239
5.137.2.241	5.137.3.14
5.137.3.16	5.137.3.26
5.137.3.28	5.137.3.64
5.137.3.66	5.137.3.68
5.137.3.70	5.137.3.78
5.137.3.80	5.137.3.82
5.137.3.84	5.137.3.108
5.137.3.110	5.137.3.137
5.137.3.139	5.137.3.166
5.137.3.168	5.137.3.168
5.137.3.170	5.137.3.174
5.137.3.176	5.137.3.192
5.137.3.194	5.137.3.248
5.137.3.250	5.137.4.71
5.137.4.73	5.137.4.115
5.137.4.117	5.137.4.117
5.137.4.119	5.137.4.144
5.137.4.146	5.137.4.155
5.137.4.157	5.137.5.58
5.137.5.60	5.137.5.98
5.137.5.100	5.137.5.121
5.137.5.124	5.137.5.146
5.137.5.148	5.137.5.158
5.137.5.160	5.137.5.232
5.137.5.234	5.137.6.5
5.137.6.7	5.137.6.22
5.137.6.24	5.137.6.39
5.137.6.41	5.137.6.54
5.137.6.56	5.137.6.112
5.137.6.114	5.137.6.116
5.137.6.118	5.137.6.138
5.137.6.140	5.137.6.160
5.137.6.162	5.137.6.175
5.137.6.177	5.137.6.209
5.137.6.211	5.137.6.228
5.137.6.230	5.137.7.5
5.137.7.7	5.137.7.33
5.137.7.35	5.137.7.134
5.137.7.136	5.137.7.185
5.137.7.187	5.137.7.233
5.137.7.235	5.137.7.246
5.137.7.248	5.137.8.19
5.137.8.21	5.137.8.23
5.137.8.25	5.137.8.35
5.137.8.37	5.137.8.132
5.137.8.134	5.137.8.183
5.137.8.185	5.137.8.216
5.137.8.218	5.137.8.236
5.137.8.238	5.137.8.253
5.137.8.255	5.137.9.58
5.137.9.60	5.137.9.103
5.137.9.105	5.137.9.110
5.137.9.112	5.137.9.115
5.137.9.117	5.137.9.144
5.137.9.146	5.137.9.168
5.137.9.170	5.137.9.192
5.137.9.194	5.137.9.197
5.137.9.199	5.137.9.242
5.137.9.244	5.137.9.252
5.137.9.254	5.137.10.40
5.137.10.42	5.137.10.62
5.137.10.65	5.137.10.78
5.137.10.80	5.137.10.137
5.137.10.139	5.137.10.170
5.137.10.172	5.137.10.194
5.137.10.196	5.137.11.15
5.137.11.17	5.137.11.87
5.137.11.89	5.137.11.124
5.137.11.126	5.137.11.148
5.137.11.150	5.137.11.171
5.137.11.173	5.137.11.190
5.137.11.192	5.137.11.231
5.137.11.233	5.137.12.94
5.137.12.96	5.137.12.123
5.137.12.125	5.137.12.129
5.137.12.131	5.137.12.145
5.137.12.147	5.137.12.150
5.137.12.152	5.137.12.167
5.137.12.169	5.137.12.201
5.137.12.203	5.137.12.253
5.137.12.255	5.137.13.10
5.137.13.12	5.137.13.48
5.137.13.50	5.137.13.90
5.137.13.92	5.137.13.92
5.137.13.94	5.137.13.140
5.137.13.142	5.137.13.160
5.137.13.162	5.137.13.172
5.137.13.174	5.137.14.5
5.137.14.7	5.137.14.214
5.137.14.216	5.137.15.59
5.137.15.61	5.137.15.106
5.137.15.108	5.137.15.173
5.137.15.175	5.137.15.189
5.137.15.191	5.137.15.208
5.137.15.210	5.137.15.223
5.137.15.225	5.137.15.239
5.137.15.241	5.137.16.4
5.137.16.6	5.137.16.124
5.137.16.126	5.137.16.157
5.137.16.159	5.137.16.167
5.137.16.169	5.137.16.171
5.137.16.173	5.137.17.9
5.137.17.11	5.137.17.84
5.137.17.86	5.137.17.197
5.137.17.199	5.137.17.248
5.137.17.250	5.137.18.21
5.137.18.23	5.137.18.25
5.137.18.27	5.137.18.30
5.137.18.32	5.137.18.36
5.137.18.38	5.137.18.99
5.137.18.101	5.137.18.148
5.137.18.150	5.137.18.173
5.137.18.175	5.137.18.197
5.137.18.199	5.137.18.203
5.137.18.205	5.137.18.205
5.137.18.207	5.137.18.246
5.137.18.248	5.137.19.10
5.137.19.12	5.137.19.15
5.137.19.17	5.137.19.37
5.137.19.39	5.137.19.46
5.137.19.48	5.137.19.60
5.137.19.62	5.137.19.245
5.137.19.247	5.137.19.248
5.137.19.250	5.137.19.254
5.137.20.0	5.137.20.39
5.137.20.41	5.137.20.45
5.137.20.47	5.137.20.150
5.137.20.152	5.137.21.28
5.137.21.30	5.137.21.65
5.137.21.67	5.137.21.186
5.137.21.188	5.137.21.252
5.137.21.254	5.137.22.10
5.137.22.12	5.137.22.26
5.137.22.28	5.137.22.49
5.137.22.51	5.137.22.75
5.137.22.77	5.137.22.85
5.137.22.87	5.137.22.138
5.137.22.140	5.137.22.171
5.137.22.173	5.137.22.187
5.137.22.189	5.137.22.201
5.137.22.203	5.137.22.214
